hotel_name,location,landmark,ratings,info,price,tag,accessibility,occupancy_details,description
Sam Holiday Homes,Candolim,| 4-5 minutes walk from Cavelossim Beach,null,"['| 1 Bedroom | Sleeps 4 guests', 'Housekeeping']","₹14,884 per night",null,Room in a Villa,| 1 Bedroom | Sleeps 4 guests,FreeCancellationBook@₹0available
Middlearth-3 BHK Villa,Siolim,| 2.1 km drive to Vagator Beach,null,"['Kitchenette', '| 1 Bedroom | Sleeps 4 guests']","₹12,801 per night",null,Entire Villa,| 3 Bedrooms | Sleeps 6 guests,
Shivam BNB Apartments,North Goa,| About a minute walk to Agonda Beach,null,"['Swimming Pool', 'Private Kitchen']","₹1,648 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 3 guests,CoupleFriendly
Dolphin Studio Apartment,Calangute,| 8 minutes walk to Anjuna Beach,2.6,"['Swimming Pool', 'Restaurant']","₹4,564 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,
Raial Dwelling Place,Calangute,| 1-2 minutes walk from Calangute Beach,2.5,"['Bar', 'Room in a Cottage']","₹13,944 per night",null,Rooms in an Apartment,| 2 Bedrooms | Sleeps 4 guests,CoupleFriendly
Sea breeze Village Baga,Calangute Baga Road,| About a minute walk to Calangute Beach,2.8,"['| 1 Bedroom | Sleeps 4 guests', 'Shared Swimming Pool']","₹2,529 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Paparazzi Resort,Calangute,| 4-5 minutes walk from Palolem Beach,2.1,"['Caretaker', '| 3 Bedrooms | Sleeps 12 guests']","₹1,381 per night",null,null,null,FreeCancellationBook@₹0available
DE 28 11 GUEST HOUSE,Siolim,| 4 minutes walk to Dona Paula Beach,3.8,"['Shared Swimming Pool', 'Caretaker']","₹3,033 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Savitri Holiday Home,Arambol Beach,null,3.6,"['Room in a Homestay', '| 1 Bedroom | Sleeps 4 guests']","₹1,801 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Villa Theresa Beach Resort,Calangute,| 1.5 km drive to Morjim Beach,3.8,"['Parking', 'Beach']","₹3,156 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Hotel Poonam,Margao,| 4-5 minutes walk from Candolim Beach,3.5,"['| 2 Dorm Beds', 'Living Room']","₹1,598 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Nakita Resort,Calangute Baga Road,null,2.9,"['Lounge', 'Vehicle Rentals']","₹2,304 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Amber Rooms,Povorim,| 8 minutes walk to Anjuna Beach,4.3,"['Entire Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹4,295 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Private Apartment Calangute | 1 BR Apartment,Calangute,| 3 minutes walk to Mobor Beach,2.8,"['Shared Swimming Pool', 'Caretaker']","₹14,260 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
FabExpress Horizon Hideaway - Nr. Anjuna Beach,Anjuna,| 2-3 minutes walk from Calangute Beach,4,"['Swimming Pool', 'Swimming Pool']","₹1,911 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Beetroot Hostel,Arambol,| 4 minutes walk to Colva Beach,2,"['Restaurant', 'Swimming Pool']",₹988 per night,null,Rooms in a Hostel,| 2 Bedrooms | Sleeps 2 guests,CoupleFriendlyBreakfastavailableatextracharges
Hotel O Casa De Gama Pinto Near Calangute Beach Road Mall,Bardez,| 7.7 km drive to Goa International Airport,1,"['Spa', 'Entire Villa']","₹3,749 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableDistributedbyOYO
Salida Del Sol- Business Boutique Hotel,Panjim,| 4 minutes walk to Calangute Beach,2.9,"['| 4 Bedrooms | Sleeps 16 guests', 'Private Swimming Pool']","₹15,677 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Amazing 2BHK Apartment Near Baga Beach,Baga,| 8 minutes walk to Anjuna Beach,4.2,"['Housekeeping', 'Entire Villa']","₹7,058 per night",Like a 3 Star,Entire Apartment,| 2 Bedrooms | Sleeps 8 guests,
Hotel Manvin's,Panjim,| 1.7 km drive to Baga Beach,3.3,"['| 1 Bedroom | Sleeps 4 guests', 'Private Swimming Pool']","₹2,108 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Furtado's Wooden Huts and Cottages,Salcete,| 3.0 km drive to Candolim Beach,2.7,"['Private Kitchen', '| 3 Bedrooms | Sleeps 12 guests']","₹4,043 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyFreeCancellationBook@₹0available
Regenta Central North Goa,Nagoa,| 1.5 km drive to Calangute Beach,4.2,"['Private Swimming Pool', 'Caretaker']","₹6,781 per night",null,null,null,Breakfastavailableatextracharges10%offonFood&Beverages
Country Inn Goa Varca Beach - 2 minutes walk to the beach,Varca Beach,null,3.5,"['Room in an Apartment', '| 1 Bedroom | Sleeps 6 guests']","₹8,699 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Sai Guru Guest House,Anjuna,| About a minute walk to Calangute Beach,4.6,"['Paid Public Parking', 'Air Conditioning']","₹1,017 per night",null,null,null,CoupleFriendly
Arotel Rooms & Suites,Calangute,null,4.2,"['Room in a Homestay', '| 1 Bedroom | Sleeps 4 guests']","₹2,596 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Hotel Calangute Castle,Calangute Baga Road,| 2.9 km drive to Vagator Beach,3.6,"['Shared Kitchen', 'Living Room']","₹3,698 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Roundcube Guest House,Palolem,null,3.4,"['| 2 Bedrooms | Sleeps 7 guests', 'Swimming Pool']","₹1,898 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Aurum Resorts,Morjim,null,3.9,"['Caretaker', '| 2 Bedrooms | Sleeps 8 guests']","₹3,687 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges5%DiscountOnAirportTransfer,SubjecttoAvailability"
